timestamp,  deadSpace,  offset,  spikeWidth,  ratio,  Y,  X,  Z,  area,  strip1,  strip2,  strip3,  strip4,  strip5,  strip6,  strip7
2017-07-27T00:02:38+02:00,100,100,55,100,0,0,-68.501,3.75,775, 283, 551, 876, 821, 847, 948
2017-07-27T00:02:39+02:00,100,100,55,100,0,1,-68.501,3.75,807, 285, 519, 890, 842, 852, 961
2017-07-27T00:02:41+02:00,100,100,55,100,0,2,-68.501,3.75,835, 297, 470, 892, 840, 854, 956
2017-07-27T00:02:42+02:00,100,100,55,100,0,3,-68.501,3.75,856, 298, 440, 876, 840, 853, 949
2017-07-27T00:02:43+02:00,100,100,55,100,0,4,-68.496,3.75,872, 299, 416, 882, 832, 851, 957
2017-07-27T00:02:45+02:00,100,100,55,100,0,5,-68.501,3.75,886, 293, 387, 896, 849, 858, 965
2017-07-27T00:02:46+02:00,100,100,55,100,0,6,-68.501,3.75,906, 318, 380, 884, 833, 856, 951
2017-07-27T00:02:47+02:00,100,100,55,100,0,7,-68.501,3.75,916, 322, 370, 875, 831, 862, 961
2017-07-27T00:02:49+02:00,100,100,55,100,0,8,-68.501,3.75,943, 331, 348, 881, 818, 848, 948
2017-07-27T00:02:50+02:00,100,100,55,100,0,9,-68.496,3.75,968, 348, 327, 886, 826, 862, 953
2017-07-27T00:02:51+02:00,100,100,55,100,0,10,-68.501,3.75,968, 352, 309, 870, 818, 852, 951
2017-07-27T00:02:53+02:00,100,100,55,100,0,11,-68.501,3.75,969, 356, 285, 895, 841, 864, 955
2017-07-27T00:02:54+02:00,100,100,55,100,0,12,-68.501,3.75,954, 373, 280, 889, 834, 871, 958
2017-07-27T00:02:55+02:00,100,100,55,100,0,13,-68.501,3.75,966, 375, 261, 895, 831, 862, 958
2017-07-27T00:02:57+02:00,100,100,55,100,0,14,-68.496,3.75,970, 394, 264, 901, 836, 869, 963
2017-07-27T00:02:58+02:00,100,100,55,100,0,15,-68.501,3.75,971, 390, 244, 886, 826, 854, 947
2017-07-27T00:02:59+02:00,100,100,55,100,0,16,-68.501,3.75,973, 414, 239, 894, 819, 873, 936
2017-07-27T00:03:01+02:00,100,100,55,100,0,17,-68.501,3.75,976, 421, 234, 865, 821, 867, 958
2017-07-27T00:03:02+02:00,100,100,55,100,0,18,-68.501,3.75,987, 446, 224, 831, 832, 870, 957
2017-07-27T00:03:03+02:00,100,100,55,100,0,19,-68.496,3.75,967, 487, 227, 778, 836, 864, 958
2017-07-27T00:03:05+02:00,100,100,55,100,0,20,-68.501,3.75,970, 513, 222, 710, 834, 851, 946
2017-07-27T00:03:06+02:00,100,100,55,100,0,21,-68.501,3.75,968, 537, 213, 640, 841, 845, 955
2017-07-27T00:03:07+02:00,100,100,55,100,0,22,-68.501,3.75,972, 555, 220, 546, 831, 859, 952
2017-07-27T00:03:09+02:00,100,100,55,100,0,23,-68.501,3.75,967, 573, 218, 486, 839, 860, 955
2017-07-27T00:03:10+02:00,100,100,55,100,0,24,-68.496,3.75,966, 619, 220, 474, 832, 859, 956
2017-07-27T00:03:11+02:00,100,100,55,100,0,25,-68.501,3.75,977, 642, 225, 416, 830, 858, 947
2017-07-27T00:03:13+02:00,100,100,55,100,0,26,-68.501,3.75,969, 682, 218, 378, 816, 871, 943
2017-07-27T00:03:14+02:00,100,100,55,100,0,27,-68.501,3.75,976, 722, 220, 333, 825, 871, 956
2017-07-27T00:03:15+02:00,100,100,55,100,0,28,-68.501,3.75,981, 741, 223, 323, 827, 872, 946
2017-07-27T00:03:16+02:00,100,100,55,100,0,29,-68.496,3.75,967, 746, 229, 313, 843, 862, 949
2017-07-27T00:03:18+02:00,100,100,55,100,0,30,-68.501,3.75,975, 810, 232, 290, 844, 857, 950
2017-07-27T00:03:19+02:00,100,100,55,100,0,31,-68.501,3.75,976, 818, 236, 259, 860, 867, 960
2017-07-27T00:03:20+02:00,100,100,55,100,0,32,-68.501,3.75,985, 848, 232, 242, 862, 869, 957
2017-07-27T00:03:22+02:00,100,100,55,100,0,33,-68.501,3.75,968, 902, 243, 227, 868, 884, 963
2017-07-27T00:03:23+02:00,100,100,55,100,0,34,-68.496,3.75,971, 890, 248, 214, 856, 868, 954
2017-07-27T00:03:24+02:00,100,100,55,100,0,35,-68.501,3.75,981, 907, 256, 203, 862, 869, 964
2017-07-27T00:03:26+02:00,100,100,55,100,0,36,-68.501,3.75,962, 916, 263, 191, 874, 875, 954
2017-07-27T00:03:27+02:00,100,100,55,100,0,37,-68.501,3.75,968, 937, 271, 184, 892, 876, 967
2017-07-27T00:03:28+02:00,100,100,55,100,0,38,-68.501,3.75,975, 920, 290, 175, 855, 880, 968
2017-07-27T00:03:30+02:00,100,100,55,100,0,39,-68.496,3.75,968, 939, 291, 170, 874, 877, 964
2017-07-27T00:03:31+02:00,100,100,55,100,0,40,-68.501,3.75,964, 922, 298, 163, 871, 879, 968
2017-07-27T00:03:32+02:00,100,100,55,100,0,41,-68.501,3.75,973, 947, 308, 165, 856, 861, 965
2017-07-27T00:03:34+02:00,100,100,55,100,0,42,-68.501,3.75,979, 933, 328, 158, 858, 869, 958
2017-07-27T00:03:35+02:00,100,100,55,100,0,43,-68.501,3.75,976, 937, 339, 157, 821, 865, 955
2017-07-27T00:03:36+02:00,100,100,55,100,0,44,-68.496,3.75,986, 941, 364, 157, 761, 862, 974
2017-07-27T00:03:38+02:00,100,100,55,100,0,45,-68.501,3.75,978, 933, 393, 157, 692, 860, 962
2017-07-27T00:03:39+02:00,100,100,55,100,0,46,-68.501,3.75,968, 933, 408, 157, 622, 861, 969
