timestamp,  deadSpace,  offset,  spikeWidth,  ratio,  Y,  X,  Z,  area,  strip1,  strip2,  strip3,  strip4,  strip5,  strip6,  strip7
2017-07-27T04:29:23+02:00,100,100,75,100,0,0,-68.199,1.25,265, 69, 897, 902, 898, 889, 960
2017-07-27T04:29:25+02:00,100,100,75,100,0,1,-68.199,1.25,304, 70, 901, 900, 880, 883, 945
2017-07-27T04:29:26+02:00,100,100,75,100,0,2,-68.199,1.25,346, 70, 865, 891, 882, 877, 948
2017-07-27T04:29:28+02:00,100,100,75,100,0,3,-68.204,1.25,398, 69, 805, 886, 879, 874, 955
2017-07-27T04:29:29+02:00,100,100,75,100,0,4,-68.199,1.25,469, 69, 750, 885, 885, 886, 957
2017-07-27T04:29:31+02:00,100,100,75,100,0,5,-68.199,1.25,578, 68, 689, 884, 869, 878, 955
2017-07-27T04:29:32+02:00,100,100,75,100,0,6,-68.199,1.25,691, 64, 613, 889, 891, 889, 962
2017-07-27T04:29:34+02:00,100,100,75,100,0,7,-68.199,1.25,825, 64, 571, 890, 883, 882, 964
2017-07-27T04:29:35+02:00,100,100,75,100,0,8,-68.204,1.25,924, 64, 510, 867, 871, 886, 961
2017-07-27T04:29:37+02:00,100,100,75,100,0,9,-68.199,1.25,951, 70, 450, 872, 889, 881, 964
2017-07-27T04:29:38+02:00,100,100,75,100,0,10,-68.199,1.25,958, 67, 379, 885, 871, 903, 947
2017-07-27T04:29:40+02:00,100,100,75,100,0,11,-68.199,1.25,942, 70, 311, 897, 883, 883, 961
2017-07-27T04:29:41+02:00,100,100,75,100,0,12,-68.199,1.25,935, 73, 246, 882, 874, 888, 952
2017-07-27T04:29:43+02:00,100,100,75,100,0,13,-68.204,1.25,945, 75, 194, 876, 882, 880, 965
2017-07-27T04:29:44+02:00,100,100,75,100,0,14,-68.199,1.25,954, 82, 163, 879, 878, 890, 963
2017-07-27T04:29:46+02:00,100,100,75,100,0,15,-68.199,1.25,951, 79, 152, 881, 881, 885, 957
2017-07-27T04:29:47+02:00,100,100,75,100,0,16,-68.199,1.25,951, 89, 138, 881, 870, 882, 956
2017-07-27T04:29:49+02:00,100,100,75,100,0,17,-68.199,1.25,949, 95, 131, 885, 880, 884, 968
2017-07-27T04:29:50+02:00,100,100,75,100,0,18,-68.204,1.25,953, 105, 117, 874, 867, 886, 965
2017-07-27T04:29:52+02:00,100,100,75,100,0,19,-68.199,1.25,970, 108, 108, 869, 870, 879, 951
2017-07-27T04:29:53+02:00,100,100,75,100,0,20,-68.199,1.25,949, 112, 108, 867, 867, 881, 948
2017-07-27T04:29:55+02:00,100,100,75,100,0,21,-68.199,1.25,955, 128, 102, 856, 872, 879, 956
2017-07-27T04:29:56+02:00,100,100,75,100,0,22,-68.199,1.25,952, 145, 100, 868, 881, 876, 952
2017-07-27T04:29:58+02:00,100,100,75,100,0,23,-68.204,1.25,960, 154, 98, 886, 890, 892, 958
2017-07-27T04:29:59+02:00,100,100,75,100,0,24,-68.199,1.25,943, 173, 90, 863, 877, 880, 955
2017-07-27T04:30:01+02:00,100,100,75,100,0,25,-68.199,1.25,951, 219, 82, 865, 855, 883, 943
2017-07-27T04:30:02+02:00,100,100,75,100,0,26,-68.199,1.25,947, 276, 85, 856, 879, 878, 964
2017-07-27T04:30:04+02:00,100,100,75,100,0,27,-68.199,1.25,948, 333, 85, 796, 846, 867, 951
2017-07-27T04:30:05+02:00,100,100,75,100,0,28,-68.204,1.25,942, 442, 80, 749, 871, 881, 965
2017-07-27T04:30:06+02:00,100,100,75,100,0,29,-68.199,1.25,958, 582, 83, 724, 892, 874, 956
2017-07-27T04:30:08+02:00,100,100,75,100,0,30,-68.199,1.25,957, 704, 80, 684, 893, 884, 962
2017-07-27T04:30:09+02:00,100,100,75,100,0,31,-68.199,1.25,968, 910, 82, 635, 892, 888, 959
2017-07-27T04:30:11+02:00,100,100,75,100,0,32,-68.199,1.25,946, 941, 82, 599, 878, 875, 956
2017-07-27T04:30:12+02:00,100,100,75,100,0,33,-68.204,1.25,972, 956, 87, 529, 868, 882, 942
2017-07-27T04:30:14+02:00,100,100,75,100,0,34,-68.199,1.25,964, 937, 91, 448, 874, 865, 958
2017-07-27T04:30:15+02:00,100,100,75,100,0,35,-68.199,1.25,949, 953, 98, 381, 872, 875, 958
2017-07-27T04:30:17+02:00,100,100,75,100,0,36,-68.199,1.25,942, 936, 95, 334, 869, 867, 948
2017-07-27T04:30:18+02:00,100,100,75,100,0,37,-68.199,1.25,956, 958, 99, 284, 876, 878, 962
