X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0,0,505,157,516,923,913,899,953
1,0,0,575,167,512,912,894,908,944
2,0,0,629,170,491,918,903,893,947
3,0,0,708,184,459,904,894,898,955
4,0,0,729,191,436,924,910,903,967
5,0,0,799,196,427,944,924,897,947
6,0,0,817,200,408,910,907,893,948
7,0,0,901,213,402,927,916,908,952
8,0,0,957,207,398,914,909,896,955
9,0,0,969,215,386,898,904,899,943
10,0,0,955,236,396,918,916,901,947
11,0,0,964,244,373,896,909,897,947
12,0,0,966,257,374,911,915,901,946
13,0,0,964,280,367,920,915,893,954
14,0,0,975,308,356,899,903,893,951
15,0,0,971,319,347,856,900,892,949
16,0,0,971,356,342,799,912,899,954
17,0,0,968,388,319,781,900,900,956
18,0,0,965,406,308,708,906,896,960
19,0,0,984,436,292,647,926,892,946
20,0,0,960,455,280,590,899,888,943
21,0,0,975,504,266,582,911,895,947
22,0,0,963,522,268,527,901,889,942
23,0,0,969,538,259,489,898,899,954
24,0,0,960,576,256,438,905,897,951
25,0,0,978,639,260,421,924,893,943
26,0,0,970,682,250,376,902,889,951
27,0,0,984,781,253,374,918,895,944
28,0,0,968,817,262,338,910,903,933
29,0,0,986,875,258,317,904,894,941
30,0,0,978,872,257,296,904,897,944
31,0,0,968,940,276,288,905,899,950
32,0,0,965,953,276,259,900,897,939
33,0,0,974,950,283,257,905,896,953
34,0,0,976,970,302,237,909,887,935
35,0,0,971,966,297,220,914,893,950
36,0,0,973,960,316,205,897,884,943
37,0,0,974,966,334,201,903,887,943
38,0,0,981,967,321,186,871,894,939
39,0,0,975,989,332,183,857,883,943
40,0,0,978,982,339,176,788,892,944
41,0,0,967,968,338,160,744,899,956
42,0,0,964,978,348,161,670,888,944
43,0,0,982,997,364,159,645,880,942
44,0,0,963,968,370,151,591,889,951
45,0,0,985,976,390,143,518,887,949
46,0,0,971,971,437,146,491,892,953
47,0,0,961,972,451,143,445,888,949
48,0,0,978,975,485,136,408,884,951
49,0,0,964,987,528,137,385,894,947
50,0,0,964,974,597,140,343,891,933
51,0,0,981,973,656,146,330,894,940
52,0,0,969,988,708,147,306,889,947
53,0,0,971,986,742,146,277,891,948
54,0,0,972,982,783,151,257,888,945
55,0,0,961,982,832,157,234,885,941
56,0,0,975,984,901,165,234,902,953
57,0,0,978,976,918,168,223,894,946
58,0,0,959,976,906,179,211,903,949
59,0,0,977,973,924,181,200,901,948
60,0,0,966,980,903,192,194,899,953
61,0,0,969,982,909,200,186,895,951
62,0,0,971,972,919,195,175,891,960
63,0,0,972,1006,919,206,160,849,949
64,0,0,985,987,919,220,163,781,950
65,0,0,972,987,906,222,150,768,952
66,0,0,971,984,918,250,146,707,952
67,0,0,978,985,928,268,150,634,946
68,0,0,968,975,917,291,138,592,947
69,0,0,966,967,920,324,132,513,943
70,0,0,968,974,935,350,141,468,936
0,-2.5,0,480,184,540,905,910,902,949
1,-2.5,0,587,185,507,918,903,897,945
2,-2.5,0,630,190,499,908,909,890,943
3,-2.5,0,687,202,488,906,894,898,948
4,-2.5,0,751,210,490,915,896,902,947
5,-2.5,0,816,213,466,911,896,896,952
6,-2.5,0,861,206,435,909,892,889,942
7,-2.5,0,941,213,431,903,904,907,943
8,-2.5,0,968,227,440,908,890,906,950
9,-2.5,0,965,234,426,921,900,896,938
10,-2.5,0,958,247,416,908,899,904,948
11,-2.5,0,963,272,422,911,899,891,942
12,-2.5,0,962,273,412,899,902,901,956
13,-2.5,0,975,306,402,911,914,896,961
14,-2.5,0,966,326,392,893,905,895,951
15,-2.5,0,969,352,361,834,892,895,936
16,-2.5,0,965,374,364,807,893,896,954
17,-2.5,0,962,399,348,736,893,900,957
18,-2.5,0,969,412,322,718,894,885,949
19,-2.5,0,982,452,328,666,889,886,938
20,-2.5,0,976,470,302,641,899,915,951
21,-2.5,0,968,496,291,592,895,896,955
22,-2.5,0,983,519,275,522,898,882,963
23,-2.5,0,970,588,277,501,898,885,944
24,-2.5,0,976,592,269,457,916,895,964
25,-2.5,0,977,645,272,415,914,909,942
26,-2.5,0,992,743,272,388,903,888,950
27,-2.5,0,980,815,266,353,910,897,958
28,-2.5,0,977,828,263,356,908,896,943
29,-2.5,0,970,853,275,333,897,898,945
30,-2.5,0,972,917,280,304,895,891,947
31,-2.5,0,982,945,291,281,902,896,947
32,-2.5,0,967,964,301,263,902,897,943
33,-2.5,0,976,939,304,257,898,900,960
34,-2.5,0,971,965,310,249,909,890,950
35,-2.5,0,963,986,327,235,900,894,946
36,-2.5,0,980,953,333,219,900,897,967
37,-2.5,0,980,975,336,213,923,901,954
38,-2.5,0,977,961,339,199,891,893,955
39,-2.5,0,960,985,348,182,864,904,958
40,-2.5,0,970,975,345,174,807,901,961
41,-2.5,0,983,972,352,175,792,898,954
42,-2.5,0,969,977,359,164,727,884,955
43,-2.5,0,978,966,382,163,663,889,947
44,-2.5,0,968,969,398,159,607,893,948
45,-2.5,0,965,967,426,148,548,887,953
46,-2.5,0,979,974,444,151,510,882,936
47,-2.5,0,977,972,476,149,463,883,950
48,-2.5,0,969,977,490,146,422,900,961
49,-2.5,0,978,973,543,146,389,887,936
50,-2.5,0,969,988,628,154,368,901,961
51,-2.5,0,973,970,671,146,330,894,942
52,-2.5,0,973,987,708,149,318,900,951
