X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0,0,878,230,709,956,960,953,981
1,0,0,898,223,648,964,975,960,978
2,0,0,933,233,567,980,968,962,975
3,0,0,958,234,523,965,965,952,984
4,0,0,958,252,498,980,970,946,975
5,0,0,941,260,437,964,973,956,980
6,0,0,948,272,409,967,972,960,969
7,0,0,948,288,362,975,978,955,977
8,0,0,950,312,332,976,976,954,969
9,0,0,945,335,298,989,993,957,973
10,0,0,948,340,276,962,969,964,994
11,0,0,952,353,264,963,973,955,972
12,0,0,949,390,253,973,971,955,982
13,0,0,948,412,234,952,971,952,980
14,0,0,963,452,234,975,984,950,972
15,0,0,948,463,223,966,991,958,979
16,0,0,947,501,225,963,959,954,985
17,0,0,949,543,211,957,962,964,973
18,0,0,952,580,203,968,981,961,972
19,0,0,967,618,193,977,975,967,970
20,0,0,958,666,195,956,974,955,970
21,0,0,961,737,195,908,975,949,970
22,0,0,940,764,187,812,973,960,975
23,0,0,957,809,189,760,972,957,979
24,0,0,941,862,189,687,968,958,969
25,0,0,949,913,194,602,986,955,974
26,0,0,959,938,195,536,985,966,970
27,0,0,966,971,211,475,997,965,975
28,0,0,948,984,219,413,985,962,993
29,0,0,955,982,234,382,996,955,974
30,0,0,951,979,244,337,975,963,993
31,0,0,945,960,261,306,965,955,971
32,0,0,955,983,275,283,977,957,989
33,0,0,964,994,289,262,982,957,977
34,0,0,949,981,311,247,984,946,970
35,0,0,964,982,312,241,991,953,970
36,0,0,950,971,348,224,976,966,979
37,0,0,969,990,369,204,983,961,980
38,0,0,950,975,384,206,982,978,987
39,0,0,950,976,405,203,978,954,984
40,0,0,948,972,435,197,978,964,982
41,0,0,944,986,476,187,975,966,985
42,0,0,953,976,510,189,969,948,962
43,0,0,949,967,568,178,967,959,974
44,0,0,946,991,625,186,968,949,971
45,0,0,948,984,684,187,960,963,981
46,0,0,939,984,731,191,908,964,985
47,0,0,954,992,771,197,857,962,977
48,0,0,947,970,829,199,767,966,980
49,0,0,951,982,895,209,700,966,978
50,0,0,936,991,921,205,625,954,971
51,0,0,956,964,947,205,552,966,978
52,0,0,951,985,987,213,459,957,980
53,0,0,945,979,974,226,411,962,986
54,0,0,959,985,976,239,340,954,973
55,0,0,937,983,987,239,303,965,988
56,0,0,947,982,975,257,289,958,987
57,0,0,948,975,984,270,264,966,977
58,0,0,964,976,977,288,244,959,978
59,0,0,947,993,981,318,225,958,986
60,0,0,956,987,982,333,210,968,984
61,0,0,952,981,982,353,203,957,977
62,0,0,961,988,980,364,183,956,968
63,0,0,955,982,990,390,174,963,973
64,0,0,948,979,984,434,176,968,978
65,0,0,946,984,973,467,167,945,974
66,0,0,944,979,965,506,168,954,977
67,0,0,949,969,958,552,166,951,981
68,0,0,954,992,990,574,158,947,971
69,0,0,946,980,983,618,159,949,985
70,0,0,954,979,971,666,160,937,983
0,-2.5,0,915,244,623,971,977,942,977
1,-2.5,0,924,240,587,959,982,953,977
2,-2.5,0,924,252,562,964,959,938,973
3,-2.5,0,945,253,524,941,956,943,974
4,-2.5,0,938,266,481,960,966,938,956
5,-2.5,0,940,273,431,933,962,942,967
6,-2.5,0,946,292,377,961,979,941,980
7,-2.5,0,950,302,337,957,961,944,979
8,-2.5,0,940,321,300,952,977,954,980
9,-2.5,0,943,340,258,975,970,949,968
10,-2.5,0,938,359,237,959,978,949,977
11,-2.5,0,942,390,246,961,975,953,976
12,-2.5,0,950,431,217,956,976,950,965
13,-2.5,0,953,450,216,977,971,938,973
14,-2.5,0,961,485,209,958,982,934,974
15,-2.5,0,947,516,196,955,971,946,970
16,-2.5,0,943,572,200,981,963,936,975
17,-2.5,0,947,591,193,962,986,947,971
18,-2.5,0,941,621,184,973,982,943,996
19,-2.5,0,951,685,183,993,996,947,974
20,-2.5,0,954,706,178,928,979,957,977
21,-2.5,0,956,782,175,863,985,951,968
22,-2.5,0,944,810,177,758,971,937,961
23,-2.5,0,955,841,178,652,984,943,973
24,-2.5,0,952,912,190,566,980,934,963
