X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0,0,265,69,897,902,898,889,960
1,0,0,304,70,901,900,880,883,945
2,0,0,346,70,865,891,882,877,948
3,0,0,398,69,805,886,879,874,955
4,0,0,469,69,750,885,885,886,957
5,0,0,578,68,689,884,869,878,955
6,0,0,691,64,613,889,891,889,962
7,0,0,825,64,571,890,883,882,964
8,0,0,924,64,510,867,871,886,961
9,0,0,951,70,450,872,889,881,964
10,0,0,958,67,379,885,871,903,947
11,0,0,942,70,311,897,883,883,961
12,0,0,935,73,246,882,874,888,952
13,0,0,945,75,194,876,882,880,965
14,0,0,954,82,163,879,878,890,963
15,0,0,951,79,152,881,881,885,957
16,0,0,951,89,138,881,870,882,956
17,0,0,949,95,131,885,880,884,968
18,0,0,953,105,117,874,867,886,965
19,0,0,970,108,108,869,870,879,951
20,0,0,949,112,108,867,867,881,948
21,0,0,955,128,102,856,872,879,956
22,0,0,952,145,100,868,881,876,952
23,0,0,960,154,98,886,890,892,958
24,0,0,943,173,90,863,877,880,955
25,0,0,951,219,82,865,855,883,943
26,0,0,947,276,85,856,879,878,964
27,0,0,948,333,85,796,846,867,951
28,0,0,942,442,80,749,871,881,965
29,0,0,958,582,83,724,892,874,956
30,0,0,957,704,80,684,893,884,962
31,0,0,968,910,82,635,892,888,959
32,0,0,946,941,82,599,878,875,956
33,0,0,972,956,87,529,868,882,942
34,0,0,964,937,91,448,874,865,958
35,0,0,949,953,98,381,872,875,958
36,0,0,942,936,95,334,869,867,948
37,0,0,956,958,99,284,876,878,962
38,0,0,954,940,96,231,880,885,963
39,0,0,965,976,107,184,875,874,952
40,0,0,951,946,112,151,871,875,962
41,0,0,958,950,126,132,875,877,963
42,0,0,945,942,143,116,859,876,956
43,0,0,957,933,152,99,850,879,960
44,0,0,974,951,157,91,866,872,948
45,0,0,968,932,175,83,870,876,944
46,0,0,957,968,182,78,869,865,948
47,0,0,954,944,194,71,859,873,965
48,0,0,963,950,196,62,857,890,951
49,0,0,959,958,211,59,852,876,972
50,0,0,954,941,222,57,860,875,980
51,0,0,963,940,242,54,835,879,961
52,0,0,955,932,294,56,771,871,961
53,0,0,953,950,385,57,719,890,957
54,0,0,947,939,536,53,667,871,956
55,0,0,948,938,701,58,648,870,949
56,0,0,942,959,837,58,620,875,965
57,0,0,960,948,891,55,521,885,958
58,0,0,953,943,894,57,429,875,954
59,0,0,956,966,896,61,339,860,948
60,0,0,953,942,886,62,268,879,959
61,0,0,951,937,904,67,217,870,956
62,0,0,942,952,893,69,187,866,951
63,0,0,949,933,908,75,155,862,961
64,0,0,953,942,904,85,144,865,952
65,0,0,959,939,899,94,132,874,960
66,0,0,947,957,912,102,124,867,943
67,0,0,953,932,903,115,116,879,949
68,0,0,964,945,904,128,109,872,952
69,0,0,951,941,892,140,97,871,945
70,0,0,957,951,907,151,91,874,959
0,-2.5,0,289,71,778,872,868,871,952
1,-2.5,0,342,69,647,850,849,876,952
2,-2.5,0,385,64,549,858,855,870,958
3,-2.5,0,441,68,460,864,849,869,968
4,-2.5,0,522,71,392,854,843,872,964
5,-2.5,0,611,71,345,866,874,880,962
6,-2.5,0,710,66,298,855,862,877,955
7,-2.5,0,808,68,273,879,878,878,957
8,-2.5,0,937,69,250,873,859,867,943
9,-2.5,0,948,69,219,858,852,878,958
10,-2.5,0,952,71,204,863,848,870,950
11,-2.5,0,956,72,182,870,863,865,955
12,-2.5,0,950,75,166,855,862,859,955
13,-2.5,0,957,80,148,861,875,889,962
14,-2.5,0,952,85,142,870,859,871,952
15,-2.5,0,948,87,135,849,845,865,940
16,-2.5,0,951,95,135,864,858,875,949
17,-2.5,0,951,106,127,873,870,879,950
18,-2.5,0,957,108,116,861,853,889,956
19,-2.5,0,958,117,108,856,842,869,954
20,-2.5,0,945,131,98,851,853,890,956
21,-2.5,0,949,138,102,878,877,887,959
22,-2.5,0,964,155,93,856,866,863,948
23,-2.5,0,941,165,94,871,867,887,959
24,-2.5,0,955,183,91,853,861,876,951
25,-2.5,0,941,228,87,819,859,868,963
26,-2.5,0,935,272,83,731,852,878,963
27,-2.5,0,950,344,84,658,865,870,948
28,-2.5,0,945,456,85,574,860,868,948
29,-2.5,0,933,574,88,520,845,875,967
30,-2.5,0,942,718,86,478,858,872,957
31,-2.5,0,955,838,90,477,870,873,948
32,-2.5,0,961,943,91,440,842,871,965
33,-2.5,0,941,937,97,402,876,877,956
34,-2.5,0,958,954,103,373,863,883,947
35,-2.5,0,954,940,105,346,862,871,951
36,-2.5,0,936,933,107,282,856,877,962
37,-2.5,0,960,945,108,249,854,870,946
38,-2.5,0,944,941,109,221,850,880,969
39,-2.5,0,940,928,114,178,867,877,959
40,-2.5,0,950,950,127,141,857,870,946
41,-2.5,0,952,959,139,127,861,873,960
42,-2.5,0,950,933,162,107,858,875,960
43,-2.5,0,964,939,168,95,850,874,952
44,-2.5,0,954,944,176,89,862,866,948
45,-2.5,0,961,957,179,77,867,873,951
46,-2.5,0,953,946,193,74,857,875,956
47,-2.5,0,944,936,194,64,824,876,954
48,-2.5,0,952,950,206,60,858,878,950
49,-2.5,0,940,958,216,56,801,882,950
50,-2.5,0,937,948,239,55,695,868,952
51,-2.5,0,947,928,257,55,584,866,953
52,-2.5,0,944,951,290,56,510,878,969
53,-2.5,0,962,968,375,57,457,867,959
54,-2.5,0,946,940,492,59,425,865,955
55,-2.5,0,955,940,638,60,389,876,950
56,-2.5,0,968,955,776,61,350,868,946
57,-2.5,0,951,944,873,62,325,870,961
58,-2.5,0,951,949,888,61,289,873,956
59,-2.5,0,943,943,883,66,238,871,954
60,-2.5,0,940,943,883,64,199,868,947
61,-2.5,0,952,929,875,68,168,870,950
62,-2.5,0,945,946,869,72,140,868,952
63,-2.5,0,954,928,887,84,136,866,959
64,-2.5,0,947,933,885,93,122,883,959
65,-2.5,0,955,963,891,103,124,873,957
66,-2.5,0,950,939,889,113,117,871,954
67,-2.5,0,953,956,903,116,104,865,950
68,-2.5,0,944,948,911,133,98,874,948
69,-2.5,0,946,938,890,152,89,874,951
70,-2.5,0,949,947,890,165,81,869,957
0,-5,0,380,61,548,830,837,869,950
1,-5,0,466,61,486,839,838,866,948
2,-5,0,558,64,424,852,851,860,954
3,-5,0,660,62,364,856,850,866,955
4,-5,0,741,63,306,847,847,871,955
5,-5,0,852,65,279,830,837,874,955
6,-5,0,931,67,255,851,836,864,958
7,-5,0,936,67,228,842,842,869,966
8,-5,0,940,72,206,857,848,868,955
9,-5,0,943,71,180,871,855,866,950
10,-5,0,929,77,166,865,852,881,961
11,-5,0,931,84,146,868,863,870,953
12,-5,0,961,95,127,846,839,864,953
13,-5,0,953,96,118,847,845,863,944
14,-5,0,953,101,117,859,851,865,948
15,-5,0,940,114,113,852,839,871,949
16,-5,0,941,116,111,855,841,860,939
17,-5,0,935,129,112,864,844,875,947
18,-5,0,950,134,111,849,862,872,956
19,-5,0,943,138,103,859,855,880,958
